Stand	ForestType	TreeID	DBH	H	StemSection	buttH	topH	topD	buttD	KnotClusterCount	KnotClusterDistanceAverage	KnotVolume	KnotIndex	KnotSizeIndex
12	OMT	1220	27.2	25.6	2	459	918	185.6	218	6	435	3.245	0.0229	0.5408
12	OMT	1220	27.2	25.6	3	888.2	1347.2	154.07	189	6	463	4.656	0.0466	0.776
12	OMT	1221	26.5	23	1	0	428.1	240.7	288	10	188	13.912	0.057	1.3912
12	OMT	1221	26.5	23	2	428.1	856.2	206.28	259	12	225	13.248	0.0625	1.104
12	OMT	1221	26.5	23	3	916.2	1344.3	161.5	208	9	369	12.365	0.0841	1.3739
12	OMT	1222	30.8	24.5	1	0	459	245.81	314	12	206	13.774	0.0534	1.1478
12	OMT	1222	30.8	24.5	2	459	918	215.61	249	8	318	14.825	0.0745	1.8531
12	OMT	1223	29.5	25.4	1	0	543.7	175.54	219	9	381	6.468	0.038	0.7187
12	OMT	1223	29.5	25.4	2	543.7	1087.4	166.29	200	8	494	3.217	0.0216	0.4021
12	OMT	1224	27.45	22.9	1	0	548.2	212.86	281	16	196	8.555	0.0356	0.5347
12	OMT	1225	27.6	25.5	1	0	457.8	233.52	287	6	466	2.871	0.0125	0.4785
12	OMT	1225	27.6	25.5	2	457.8	915.6	203.08	234	6	493	3.152	0.0165	0.5253
12	OMT	1225	27.6	25.5	3	947.1	1404.9	155.45	204	9	397	4.543	0.0303	0.5048
12	OMT	1226	22.8	22	1	0	485.9	195.04	224	11	307	6.549	0.0409	0.5954
12	OMT	1226	22.8	22	2	485.9	971.8	161.78	196	11	272	6.555	0.0462	0.5959
12	OMT	1227	31.6	23.5	1	0	488.7	255.59	323	15	233	7.712	0.0255	0.5141
12	OMT	1227	31.6	23.5	2	488.7	977.4	217.02	257	11	194	9.289	0.0476	0.8445
12	OMT	1227	31.6	23.5	3	917.4	1406.1	147.36	215	12	286	7.444	0.0483	0.6203
12	OMT	1228	34.5	25.3	1	0	428.7	295.54	354	13	213	10.631	0.0317	0.8178
12	OMT	1228	34.5	25.3	2	428.7	857.4	255.7	292	10	241	7.953	0.0312	0.7953
12	OMT	1228	34.5	25.3	3	857.4	1286.1	209.47	258	14	159	8.831	0.0455	0.6308
12	OMT	1228	34.5	25.3	4	1287.2	1715.9	157.89	210	10	291	13.122	0.0825	1.3122
12	OMT	1229	26	23.6	1	0	548.7	174.35	219	10	391	8.316	0.0504	0.8316
12	OMT	1230	45.3	26.2	2	520	1008.1	301.42	349	15	123	25.729	0.0605	1.7153
12	OMT	1230	45.3	26.2	3	1008.1	1497.1	239.72	303	13	127	20.652	0.0662	1.5886
